name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Imagine,338496255,0,,0-AllShips,37-Pleasure,-1,131.7,15-NotDefined,0,1738655142,11,4,33.752163,-118.109567,2025-02-04T07:45:46Z
Exy Johnson,366886630,0,WDB3395,9-NoInfo,0-Unknown,-1,319.7,5-Moored,0,1738655036,30,6,33.73736,-118.27808,2025-02-04T07:45:46Z
Sea Guardian,338140889,0,WTT9665,0-AllShips,34-Diving,212,273.2,15-NotDefined,0,1738655134,16,5,33.76998,-118.212343,2025-02-04T07:45:46Z
Hot Rail,338226906,0,,0-AllShips,37-Pleasure,185.7,229.2,15-NotDefined,0,1738654867,13,4,33.460747,-117.69815,2025-02-04T07:45:46Z
Outward Bound,367152940,0,WDD5046,0-AllShips,37-Pleasure,291,195,5-Moored,0,1738655103,15,6,33.458858,-117.695193,2025-02-04T07:45:46Z
Tourist,368090330,0,WDK8046,0-AllShips,6-Passenger,237.3,148.8,15-NotDefined,0,1738655048,14,7,33.974887,-118.444853,2025-02-04T07:45:46Z
Pacific Coral,538009206,9893113,V7A4448,0-AllShips,8-Tanker,268,265,0-Underway(Engine),11.7,1738654887,250,44,33.661662,-119.210263,2025-02-04T07:45:46Z
Wine Knot,338393843,0,,0-AllShips,37-Pleasure,182,182,15-NotDefined,0,1738655046,12,4,33.71997,-118.28189,2025-02-04T07:45:46Z
Penalty Box,338455077,0,,0-AllShips,37-Pleasure,229.8,225,15-NotDefined,0.1,1738654980,15,5,33.751168,-118.112303,2025-02-04T07:45:46Z
Blindfaith,367697580,0,WDI4332,0-AllShips,37-Pleasure,51.9,145.7,15-NotDefined,0,1738654640,28,8,33.72264,-118.070052,2025-02-04T07:45:46Z
Mahal,368221650,0,WDM6041,0-AllShips,37-Pleasure,262.5,125,15-NotDefined,0,1738655056,13,4,33.60638,-117.903243,2025-02-04T07:45:46Z
Liberty,368356010,0,WDP4608,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654859,14,5,33.979617,-118.447147,2025-02-04T07:45:46Z
Bella Vita,338338181,0,,0-AllShips,36-Sailing,114.7,356.6,15-NotDefined,0,1738655026,10,4,33.98078,-118.450027,2025-02-04T07:45:46Z
Worker The Plan,338498663,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654922,13,4,33.605867,-117.885262,2025-02-04T07:45:46Z
Jamie Ann,366892000,0,WDL5109,0-AllShips,52-Tug,235.2,67,0-Underway(Engine),0,1738655142,31,12,33.77081,-118.21219,2025-02-04T07:45:46Z
King Phillip,367529450,0,WDG3768,0-AllShips,30-Fishing,0,69.1,15-NotDefined,0,1738655124,26,9,33.457598,-118.59216,2025-02-04T07:45:46Z
Sheila Ann,308717000,9138094,C6FD2,0-AllShips,7-Cargo,183.3,273,1-AtAnchor,0.1,1738654997,225,32,33.721952,-118.225397,2025-02-04T07:45:46Z
Refuge Kate,338227318,0,KM6KQA,0-AllShips,36-Sailing,301.5,186.9,15-NotDefined,0,1738655085,15,4,34.163107,-119.225545,2025-02-04T07:45:46Z
Marie Cheramie,367533290,8964862,WDG4131,0-AllShips,9-Other,244.1,253.5,0-Underway(Engine),0,1738655141,46,26,33.734528,-118.270878,2025-02-04T07:45:46Z
Alure,368090620,0,WDK8075,0-AllShips,37-Pleasure,230.3,278.5,15-NotDefined,0,1738655104,0,0,33.613162,-117.910983,2025-02-04T07:45:46Z
Nuevo,338142675,0,,0-AllShips,37-Pleasure,322.4,178.2,15-NotDefined,0.1,1738654636,20,6,33.622335,-117.895618,2025-02-04T07:45:46Z
Huntress,338393998,0,,0-AllShips,37-Pleasure,-1,79.7,15-NotDefined,0,1738654767,10,4,33.610222,-117.895932,2025-02-04T07:45:46Z
Sticker's Quicker,338456877,0,WUY6909,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654903,20,6,33.610337,-117.903818,2025-02-04T07:45:46Z
Barbara H,367174120,0,WDK2335,0-AllShips,30-Fishing,-1,33.6,15-NotDefined,0,1738654873,0,0,33.738395,-118.266618,2025-02-04T07:45:46Z
Lbfd Fb20,367698890,0,WDI4461,0-AllShips,51-SAR,23.7,23.7,5-Moored,0,1738655136,35,10,33.770402,-118.20982,2025-02-04T07:45:46Z
Cylon,368222710,0,KK6BWA,0-AllShips,37-Pleasure,220.6,319,15-NotDefined,0,1738655104,15,8,34.167595,-119.223423,2025-02-04T07:45:46Z
